Symbol,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
561,0,2.131575223,10.82227224,15.86174787,16.62643375,25.26802166,23.85227717,24.95134079,3.570845591,13.53012183,24.63274056,12.71525951,21.29389157
565,0.736132654,5.837637538,1.416189513,3.542087325,2.175916721,2.144744695,2.161887671,13.02200737,4.292528699,4.27924218,4.304679926,2.939283873,2.910400364
566,0,1.488863732,0,0,0,0,0,0,0,0,0,0.737662947,0
568,4.355530318,0,1.440456611,0,0,0,0,0,0,2.853226016,16.55920358,52.10894123,88.41750913
570,8.078529108,1.372669269,4.079786591,15.5981449,11.30217617,14.78962067,12.03325844,3.545087276,7.243919975,6.315428864,6.412300278,12.74090579,27.22951212
578,0,0,0,0,0,0,0,0,0,0,0,0,0
581,0.704411145,1.391392663,2.821189267,9.875355731,14.17242355,12.66661553,33.47779383,33.59061805,27.31815102,20.94671126,82.16619917,88.27779462,87.30708972
582,0,0,0,0,0,0,0,0,0.713457525,0,0,0,0
584,0,0,0,0,0,0,0,0,8.545593293,7.820056431,0,0,0
586,0,0,0,0,0,0,0,0,0,0,0,0,0
589,2.786452342,0,7.121829712,5.671632653,7.792798842,2.822610167,4.313151751,3.560699675,15.63375597,9.186103142,20.00105969,7.933895888,25.54540024
592,0,0,0,0,0,0,0,0,0,0,0,3.57888933,0.699442408
595,0,0,0,0,0,11.35902723,0,0,0,0,0,0.706146726,0
596,0,0,18.5769799,37.07011266,47.12433771,72.55730551,55.47352266,71.92305839,103.5061907,146.4775618,133.305245,126.8900502,71.71119567
597,3.496704392,8.572396688,10.70689026,17.95370914,22.67290072,10.83542729,28.62888125,7.158240291,10.75939388,3.548098886,6.245185128,2.116093311,1.383767723
598,0,0,0,0,0,0,0,0,4.193568317,3.515152429,0,3.463831316,1.36161135
600,0,0,0,0,0,0,0,0,1.360562925,1.409379185,6.936680906,0,0
601,0,0,0,0,0,0,0,0,0,0,0,0,0
605,0,0,0,0,0,0,0,0,0,2.120169668,0,0,0
612,0,6.257755493,3.447323882,3.443928061,0,2.739187032,0,0,0,0,0,0,0
619,0,0,0,0,0,0,0,0,0,0,0,0,4.176370285
623,0,0,0,0,0,0,0,0,0,0,0,0,0
625,486.0343749,561.8213823,586.5676443,440.0291812,424.5016166,481.1327734,603.1747116,572.2430073,739.6369324,520.8272777,711.0242372,1122.940925,2503.170904
626,0,0,0,0,0,0,0,0,0,0,0,0,0.726154081
627,0,1.405405321,0,0,0,0,0,0,0,0,0,0,0
629,0,0.725352934,0,0,0,0,0,21.73872587,20.09858635,33.86535422,38.0109089,26.06302396,17.23968232
630,0,6.390835598,5.791389553,12.23261545,12.26154834,15.67255118,7.150248222,10.06443847,13.58861243,97.60459888,113.2862109,133.2352121,89.98012645
635,0,0,0,0,0,0,0,0,3.592625638,0.695487357,11.9059687,0,14.63160318
636,32.98107153,33.56006824,39.76655677,43.01596324,59.73588915,36.35507128,54.24263756,53.16746379,48.06605063,43.16592254,53.15656135,82.87623229,69.30669726
637,2.204446634,0,0,0,0,0,0,0,0,0,0,0,0
651,431.8357062,833.894497,2196.364896,2334.820281,2906.823464,3990.54483,5559.70477,5219.43654,9729.355255,10694.66388,10980.68758,9598.5562,7232.880664
652,0,0,0,0,0,0,0,0,0,0,0,17.84809049,17.93247068
655,5.727160718,7.839559632,7.838639434,2.155372745,3.597649494,2.778715793,9.969153676,4.960200283,6.983640518,4.910893273,8.489407064,15.72716515,20.1140953
656,0,0,0,0,0,0,0,8.755335067,2.206173666,1.456172171,2.152522968,4.085882371,0
658,0,0,0,0,0,0,0,0,0,0,0,0.70690097,0.70588605
659,0,7.115008759,0,0,0,0,0,0,0,0,0,0,0
663,0.678137506,9.071413134,0,7.580286982,8.187744652,6.882608736,1.358608168,0,2.050466704,0,0,5.662903671,1.364758657
665,0,0,0,0,0,0,0,0,0.699812085,5.505590526,1.401751606,0,0
666,26.15523675,16.13031677,73.41296686,67.60855923,76.37153119,25.71704482,31.26091628,42.11577077,22.89767631,2.744850359,0,23.43723199,22.98378307
675,0,0,0,0,0,0,0,0,0,0,0,0,0
677,0,1.370201022,3.443684571,7.574665568,4.870910401,3.473922571,0,0,0,0,0,0,0
